Volt, Count
0, 4117
0.02, 860
0.04, 767
0.06, 835
0.08, 1257
0.1, 1595
0.12, 1433
0.14, 1052
0.16, 1344
0.18, 2825
0.2, 4493
0.22, 4518
0.24, 2827
0.26, 1327
0.28, 820
0.3, 718
0.35, 661
0.4, 685
0.45, 620
0.5, 595
0.55, 572
0.6, 611
0.65,587
0.7, 598
0.75, 538
0.8, 601
0.85,577
0.9, 527
0.95, 526
1, 547
1.05,613
1.1,538
1.15, 560
1.2, 567
1.25, 568
1.28, 604
1.31, 626
1.34, 691
1.37, 634
1.4, 699
1.43, 744
1.46, 879
1.49, 909
1.52, 993
1.55, 1023
1.58, 1009
1.61, 1017
1.64, 870
1.67, 724
1.7, 628
1.73, 493
1.76, 400
1.79, 343
1.82, 275
1.85, 230
1.88, 202
1.91, 140
1.95, 67
2,  29
2.05, 11
2.1, 7
2.15, 1
2.2, 8
2.22, 26
2.24, 41
2.26, 105
2.28, 214
2.3, 474
2.32, 838
2.34, 1508
2.36, 2418
2.38, 3624
2.4, 4624
2.42, 5465
2.44, 5897
2.46, 5782
2.48, 5101
2.5, 3966
2.52, 2770
2.54, 1778
2.56, 982
2.58, 514
2.6, 238
2.62, 97
2.64, 57 
2.66, 21
2.68, 8
2.7, 5
2.72, 4
2.74, 6
2.76, 1
2.78, 2
2.8, 5
